code,name,price,quantity
1,ANGLE GRINDER,100,15
2,5'' ANGEL GINDER,120,4
3,7'' ANGLE GRINDER,150,3
4,DIE GRINDER,100,1
5,MARBLE CUTTER,100,12
6,SCREW DRILLING,100,12
7,DRILLING-20,100,10
8,DRILLING-26,150,5
9,MINI BREAKER,300,5
10,BREAKER,500,10
11,CRORE DILLNG,500,1
12,PUTTY MACHINE,100,5
13,14'' CUTTING MACHINE,150,6
14,WELDING MACHINE,200,5
15,WELDING MACHINE 30AMS,300,1
16,VAIBRATOR,200,5
17,COMBRESSOR30LT,350,2
18,COMBRESSOR50LT,450,4
19,BLOYAR,100,2
20,VACCUM CLEANER,350,1
21,EARTH RAMMER,1000,2
22,LIFT MACHINE,8000,3
23,LIFT KOODAI,100,1
24,1HP MOTOR,250,2
25,SUB MERJET MOTOR,800,2
26,WATER WASH MACHINE,500,2
27,GENERATOR 3KV,1000,4
28,GENERATOR  5KV,1500,2
29,GENERATOR 7KV,2000,2
30,SUTHIYAL,20,2
31,ULI,10,4
32,SAMPATTI,50,3
33,KADAPARAI,50,6
34,THIMS,50,7
35,MANVETTI,25,8
36,MANVETTI NEW,50,1
37,MANCHATTI,20,20
38,MANCHATTI BIG,40,2
39,PIPE RINGE  350,50,2
40,PIPE RINGE  450,100,1
41,PIPE RINGE  BIG,100,1
42,KODARI ,50,2
43,PICAXE,50,1
44,50'ROPE SMALL,50,5
45,60' BIGG ROPE,100,1
46,4' MATACOL,40,4
47,6' MATACOL,60,4
48,ARUVAL,20,1
49,KATHARICOL,50,1
50,RAMBAM,50,2
51,URULAI,50,1
52,HACKSAW BLADE WT FR,50,2
53,NAIL BAR,50,2
54,FOCUS LIGHT WT CABLE,300,4
55,CABLE BOX 30',40,20
56,CABLE BOX 100',100,6
57,CHAIN BLOCK 2 TONE,300,1
58,SAFETY BELT,50,1
59,CONCRETE SHOES,50,10
60,PIN PLATE,50,3
61,BAR BENDING LEVER 8MM,25,3
62,BAR BENDING LEVER 10MM,25,3
63,BAR BENDING LEVER 12MM,25,3
64,BAR BENDING LEVER 16MM,50,3
65,MINI POWER TROWEL,500,1
66,PLASTERING MACHINE,500,1
67,AUGER BORING MACHINE,700,1
68,SPRIT LEVEL,50,1
69,WHEEL BARROW,150,16
70,SAND SLEEV,100,1
71,THONGU SARAM,100,8
72,8 X 4 SHEET,50,10
73,3' STAND,40,2
74,4' STAND,50,19
75,5' STAND,50,21
76,6' STAND,70,10
77,7' STAND,80,6
78,8' STAND,100,8
79,8' STAND WITH WHEEL,150,1
80,10' STAND,150,8
81,10' STAND WITH WHEEL,200,1
82,12' STAND,250,4
83,12' STAND WITH WHEEL,300,1
84,15' STAND,300,4
85,15' STAND WITH WHEEL,400,1
86,20' STAND,600,2
87,5' EXPANDABLE STAND,200,1
88,4' ALUMINUM STAND,70,7
89,5' ALUMIUM STAND,80,7
90,6' ALUMIUM STAND,100,6
91,7' ALUMIUM STAND,120,6
92,8' ALUMIUM STAND,150,3
93,9' ALUMIUM STAND,200,3
94,10' ALUMIUM STAND,200,3
95,12' ALUMIUM STAND,300,2
96,15' ALUMIUM STAND,400,1
97,12' TO 20' ALUMIUM STAND,500,2
98,20' TO 35' ALUMIUM STAND,1000,1
99,10' TO 16' STEEL ROPE STAND,800,1
100,12' TO 20' STEEL ROPE STAND,1000,1
101,15' TO 25' STEEL ROPE STAND,1200,1
102,20' TO 35' STEEL ROPE STAND,1500,1
103,10' STEEL LADER,50,3
104,15' STEEL LADER,70,2
105,20' STEEL LADER,150,3
106,8' ALUMIUM LADER,60,3
107,10' ALUMIUM LADER,80,5
108,12' ALUMIUM LADER,100,5
109,15' ALUMIUM LADER,150,5
110,20' ALUMIUM LADER,200,5
111,10 TO 16 ALUMIUM LADER,200,2
112,12 TO 20 ALUMIUM LADER,300,2
113,15 TO 25' ALUMIUM LADER,400,2
114,20 TO 35' ALUMIUM LADER,500,2
115,8' MOONGIL LADER,40,3
116,10' MOONGIL LADER,50,2
117,DRUM,25,20
118,PLATFORM,50,41
119,X - FRAME- 3',150,5
120,X - FRAME- 6',300,25
121,GI - X-FRAME -5',200,3
122,X -FRAME WITH WHEEL-6',350,6
123,TELESCOPIC LADER-15',300,1
124,MANUAL TILES CUTTER 2',200,1
125,MANUAL TILES CUTTER 4',400,1
126,CHAIN SAW ELECTRIC,500,1
127,X- FRAME ALUMIUM 6',600,2
128,X- FRAME ALUMIUM 6' WT WHEEL,700,2
129,X- FRAME ALUMIUM 3',300,1
130,PLATFORM ALUMIUM,200,6
